Año,Tipo,Fecha
1958,Presidencial,1958-05-04
1958,Congreso,1958-03-16
1960,Congreso,1960-03-20
1962,Presidencial,1962-05-06
1962,Congreso,1962-03-18
1964,Congreso,1964-03-15
1966,Presidencial,1966-05-01
1966,Congreso,1966-03-20
1968,Congreso,1968-03-17
1970,Presidencial,1970-04-19
1970,Congreso,1970-04-19
1974,Presidencial,1974-04-21
1974,Congreso,1974-04-21
1978,Presidencial,1978-06-04
1978,Congreso,1978-02-26
1982,Presidencial,1982-05-30
1982,Congreso,1982-03-14
1986,Presidencial,1986-05-25
1986,Congreso,1986-03-09
1988,Territorial,1988-03-13
1990,Presidencial,1990-05-27
1990,Congreso,1990-03-11
1992,Territorial,1992-03-08
1994,Presidencial,1994-06-19
1994,Congreso,1994-03-13
1994,Territorial,1994-10-30
1997,Territorial,1997-10-26
1998,Presidencial,1998-06-21
1998,Congreso,1998-03-08
2000,Territorial,2000-10-29
2002,Presidencial,2002-05-26
2002,Congreso,2002-03-10
2003,Territorial,2003-10-25
2006,Presidencial,2006-05-28
2006,Congreso,2006-03-12
2007,Territorial,2007-10-28
2010,Presidencial,2010-06-20
2010,Congreso,2010-03-14
2011,Territorial,2011-10-30
2014,Presidencial,2014-06-15
2014,Congreso,2014-03-09
2015,Territorial,2015-10-25
2018,Presidencial,2018-06-17
2018,Congreso,2018-03-11
2019,Territorial,2019-10-27
2022,Presidencial,2022-06-19
2022,Congreso,2022-03-13
2023,Territorial,2023-10-29
